source,campaign,influencer_id,user_id,product,date,orders,revenue
Instagram,Wellness Week,4,2da23601-7771-46c8-9249-46a6668b2b8f,Multivitamins,2025-05-28,3,12735
Instagram,Summer Fit,4,2cc61c6d-029d-4d50-a037-7d7acf07749f,Protein Powder,2025-04-04,3,10170
Instagram,Festival Boost,4,55e75223-d8db-435b-b366-7b2756db7583,Energy Bar,2025-06-21,2,9108
Instagram,Summer Fit,4,bb474bb1-1eb1-4792-8d98-63300bc49c05,Creatine,2025-02-24,3,1698
Instagram,Winter Bulk,4,7a0bfc33-1e2c-44a9-b655-1eacd49a90f1,Creatine,2025-04-18,1,2666
Instagram,Festival Boost,4,0e098e3c-171a-4d95-ab0d-998f43855ff4,Protein Powder,2025-02-22,2,1740
Instagram,Winter Bulk,4,b640ce5f-fa22-4e0e-9cea-ddcc9883b2d1,Omega 3,2025-02-14,3,6282
Instagram,Festival Boost,4,d5b7d716-fe3d-4f5f-95d7-f10a49edd7a5,Omega 3,2025-02-04,2,2204
Instagram,Summer Fit,4,4dc16f85-325d-4363-8560-58ebd24cf18f,Multivitamins,2025-05-20,2,5582
Instagram,Winter Bulk,4,6efb2ee1-22c2-4b16-aaf0-90b868788b7c,Energy Bar,2025-02-16,1,3726
Instagram,Wellness Week,4,4374b930-6f9c-44bd-921c-ba26d23b7c4f,Multivitamins,2025-01-31,3,10485
Instagram,Festival Boost,4,9aed1899-25e4-4280-bb80-560c82969c8d,Omega 3,2025-06-11,3,14010
Instagram,Summer Fit,4,330b8af4-9fe5-4b63-9c02-de0e627a449a,Multivitamins,2025-04-19,1,871
Instagram,Festival Boost,4,dfd15eeb-6892-40f0-811b-55945cd3dd3d,Omega 3,2025-05-16,3,9684
Instagram,Wellness Week,4,f0120cfc-3513-47c1-99bd-ef7a30d4f98c,Energy Bar,2025-05-30,2,3440
Instagram,Wellness Week,4,46eddf4c-f431-4283-8d85-570507b3aa36,Creatine,2025-06-26,3,9327
Instagram,Winter Bulk,4,868e10e8-3df3-40dd-a9ce-46b43c7e4578,Omega 3,2025-06-20,3,8853
Instagram,Festival Boost,5,ddafd1d7-4651-4c00-a2ce-ac7e861708a2,Protein Powder,2025-05-16,3,8865
Instagram,Summer Fit,5,c39d9161-35da-42ba-ab9d-a003877e1bc0,Creatine,2025-02-26,2,6426
Instagram,Summer Fit,5,0c2ed9c1-9150-4ea9-aa94-629f5c8b2ec9,Omega 3,2025-01-30,3,9060
Instagram,Wellness Week,5,337acb03-3a80-4782-bb42-012449fcb43a,Protein Powder,2025-03-06,2,5350
Instagram,Wellness Week,5,68fdeae9-ba98-4b7d-b766-76d8257c3de8,Omega 3,2025-03-25,3,13305
Instagram,Wellness Week,5,462fe3e8-f885-4933-bd59-12c92d4f0c1e,Multivitamins,2025-07-20,3,10842
Instagram,Wellness Week,5,43ea5676-4a39-417e-bafd-be889a7c317e,Protein Powder,2025-03-10,1,1400
Instagram,Festival Boost,5,daa061a8-9214-4988-8c96-4ad039ded393,Multivitamins,2025-03-31,2,6138
Instagram,Festival Boost,5,7d3e6d77-f182-4f65-9306-237d86259e8f,Omega 3,2025-03-31,2,4340
Instagram,Summer Fit,5,8b802917-7b4d-47fb-b273-05b3661848d6,Multivitamins,2025-05-29,3,13089
Instagram,Winter Bulk,5,b8acbb73-beff-4a0a-8c71-74595395c278,Creatine,2025-03-08,3,6594
Instagram,Winter Bulk,5,4d4d5bdf-600a-4b88-8477-43eece7bf835,Multivitamins,2025-05-07,3,10758
Instagram,Winter Bulk,5,ebd86494-6b23-45f2-9daa-5e33a4f09686,Omega 3,2025-03-28,2,9734
Instagram,Festival Boost,5,34e57689-efa3-463a-b71d-a160522b928d,Multivitamins,2025-04-20,2,5330
Instagram,Winter Bulk,5,06e9a8d0-d95b-4055-95e3-cf5e56cf8ad8,Multivitamins,2025-07-04,1,2785
Instagram,Wellness Week,5,d9e9eaec-e0f7-4f53-8cc3-7bdba8ca361c,Creatine,2025-02-10,2,5734
Instagram,Winter Bulk,5,59a3dfd0-0ea9-4d25-ba45-e654e39bb9b2,Omega 3,2025-05-19,2,8860
Instagram,Winter Bulk,5,24719c82-57fe-47b3-8aca-fdba244294e4,Protein Powder,2025-01-26,3,8220
Instagram,Festival Boost,5,ddd526fb-8933-4410-b188-5a84c0b80016,Creatine,2025-05-03,3,14847
Instagram,Winter Bulk,5,e7f678ba-621e-4a5f-b0c8-14dfa5c37d4d,Protein Powder,2025-06-01,2,3398
YouTube,Winter Bulk,6,e05ffba3-87e7-4906-98f1-1d75ddf8bf90,Creatine,2025-03-12,3,3441
YouTube,Festival Boost,6,e68cd9c4-e27b-458b-a8a0-37b01fd6b88b,Multivitamins,2025-06-02,3,7800
YouTube,Winter Bulk,6,752783db-5cd9-4fed-b4e7-2c0fa772c810,Omega 3,2025-03-18,1,4912
YouTube,Wellness Week,6,bbd7a39d-d1dc-4904-9d70-60fcf5eb4ba7,Protein Powder,2025-06-29,3,8175
YouTube,Wellness Week,6,c22a43b7-5c02-4494-88d6-05a1b49a3f62,Protein Powder,2025-02-02,3,7380
YouTube,Wellness Week,6,dbe0b9a0-27f6-4635-bcf9-815c9aace340,Multivitamins,2025-03-22,3,14550
YouTube,Festival Boost,6,153f93b2-0508-4774-886b-5fe4170c2390,Energy Bar,2025-03-19,1,1320
YouTube,Summer Fit,6,7022717d-31d5-4061-8b7f-8ce00630ad26,Multivitamins,2025-07-15,3,13107
YouTube,Festival Boost,6,583c8afb-5702-4c62-b877-9efaa164a584,Creatine,2025-06-23,1,1793
YouTube,Winter Bulk,6,98e14e53-8018-4f42-9f04-63d5bc31fee2,Energy Bar,2025-02-06,2,4266
YouTube,Summer Fit,6,a5ba0807-e0b5-4c8c-8709-ccfa2774fff4,Omega 3,2025-02-27,2,1968
YouTube,Summer Fit,6,d0c0d09c-12e9-420a-9fc2-53928dbd6cd9,Multivitamins,2025-06-23,1,4883
YouTube,Summer Fit,6,fde1de06-8706-472d-ad2e-bc3933baf77c,Creatine,2025-05-25,2,3880
YouTube,Winter Bulk,6,4be01cfc-25f5-41e6-b7a0-b4fa29a542aa,Protein Powder,2025-07-07,2,4052
Instagram,Winter Bulk,7,7b64dd72-27ff-49d8-9639-a0c6c9989326,Energy Bar,2025-03-12,2,2758
Instagram,Festival Boost,7,25cc0c82-9bd1-46ba-ad6a-55333820bc7e,Multivitamins,2025-02-28,2,9900
Instagram,Winter Bulk,7,045d856d-47d0-46a0-bd3e-9655fab8993f,Multivitamins,2025-04-17,3,13002
Instagram,Wellness Week,7,14482b33-0257-489b-b230-39ab1b73ea18,Creatine,2025-03-27,1,3208
Instagram,Wellness Week,7,028ab883-4a31-46b8-81a1-131e25ff9131,Protein Powder,2025-06-10,3,7821
Instagram,Wellness Week,8,3122926c-30be-4805-b706-56b6fead753f,Omega 3,2025-05-09,2,4164
Instagram,Festival Boost,8,852915a3-4ac5-4d87-be9c-d08239b79a44,Omega 3,2025-05-22,3,11463
Instagram,Festival Boost,8,b06b0b58-8eff-45bc-9fcf-051b270068f1,Protein Powder,2025-03-16,2,2420
Instagram,Festival Boost,8,2cb49db9-484a-4300-b45f-e7da1d01491d,Energy Bar,2025-03-26,1,1651
Instagram,Winter Bulk,8,7d56e4cb-0e92-4211-945a-d5b21ffa1c05,Creatine,2025-05-24,1,555
Instagram,Winter Bulk,8,210dcb5c-517f-4f00-9c06-c848a5ece620,Energy Bar,2025-04-21,1,4159
Instagram,Winter Bulk,8,f86adc8d-54e1-43da-b806-6cdfe8d95729,Energy Bar,2025-07-11,2,1186
Instagram,Summer Fit,8,e8226a50-34c6-433f-ab7c-eae6360c5a0e,Protein Powder,2025-03-30,3,7305
Instagram,Wellness Week,8,d23b227f-0d0d-4589-9df0-039e82cfb8ab,Creatine,2025-01-24,2,6026
Instagram,Winter Bulk,8,bcb13d93-2cdf-4e06-b2cd-e6bbdec4f938,Protein Powder,2025-02-26,3,13848
Instagram,Winter Bulk,8,65b578b4-7de8-4e4b-86d8-31cb8b907c3b,Omega 3,2025-06-20,3,8748
Instagram,Wellness Week,8,c76693e2-5dfe-4d1c-8437-54a642fc43ce,Creatine,2025-06-01,1,2295
Instagram,Winter Bulk,8,cac8d31f-9be8-4b56-8a01-061c6fd1e8b1,Creatine,2025-03-21,1,4227
Instagram,Festival Boost,8,02c21ab2-6cc5-4bb3-adcd-c8d15accf19c,Omega 3,2025-05-02,3,14997
Instagram,Wellness Week,8,644f5d90-1966-41f8-acf9-453935da5c25,Omega 3,2025-03-25,3,6867
YouTube,Winter Bulk,9,45625647-8795-4980-a092-4c36c40e8014,Protein Powder,2025-07-09,3,12477
YouTube,Summer Fit,9,389fcacf-e3b0-4c49-a38c-5a7a7138d6c4,Omega 3,2025-04-22,3,4257
YouTube,Wellness Week,9,c87a6ce5-c9bf-4eb1-a4d4-4108f2773d16,Multivitamins,2025-07-20,3,6468
YouTube,Festival Boost,9,c97ff80a-967a-491e-85c7-1b012431fc3d,Protein Powder,2025-04-16,2,9524
YouTube,Festival Boost,9,9f31ad26-b8a5-4d87-8d27-d6ad244c6c97,Protein Powder,2025-06-18,3,6546
YouTube,Summer Fit,9,6dd0a801-6aff-49f4-9bf7-dd869703baf3,Creatine,2025-06-02,3,12447
YouTube,Festival Boost,9,71eea787-7dd7-4222-b75a-f3600ab5c7e2,Creatine,2025-02-08,1,4704
YouTube,Winter Bulk,10,a96af11f-ecff-4f61-86d0-bb04b79796b6,Protein Powder,2025-01-30,3,12861
YouTube,Summer Fit,10,e9853d5d-5627-4437-be4c-8dbb447faf30,Multivitamins,2025-04-22,2,5168
YouTube,Summer Fit,10,497e1954-d96c-4bed-a075-29a8671e5d9a,Creatine,2025-03-07,3,3294
YouTube,Summer Fit,10,07282763-89d3-49e4-ba11-552127525d7c,Protein Powder,2025-05-02,2,2044
YouTube,Winter Bulk,10,873db527-846f-49fa-ad3a-f73dd2411ae9,Creatine,2025-05-20,2,1518
YouTube,Festival Boost,10,916c5d6d-2cdf-4081-9864-1ea455965eff,Energy Bar,2025-04-17,1,1609
YouTube,Festival Boost,11,cf0abb29-02fc-418e-8e74-cec22c69fe60,Protein Powder,2025-02-24,2,7184
YouTube,Wellness Week,11,edd819f9-45b7-4a19-9aff-d1aff3c4dfc4,Energy Bar,2025-04-28,3,14751
YouTube,Festival Boost,11,ebef6241-f33f-42f0-8e61-9e6bb21bea4d,Omega 3,2025-02-12,1,1962
YouTube,Summer Fit,11,ba26a7d9-50c1-4b90-9a6a-d9e5964afbf1,Protein Powder,2025-02-15,1,2324
YouTube,Festival Boost,11,f7535714-4df0-4d95-aae3-b4bc15002e8b,Omega 3,2025-04-19,2,8584
YouTube,Wellness Week,11,8c5282e8-af07-410a-8425-6c7bc9b2558d,Creatine,2025-01-30,2,4762
YouTube,Winter Bulk,11,751d8ba2-8255-42f9-a14a-59464c2c367a,Multivitamins,2025-02-01,2,3540
YouTube,Summer Fit,11,8b429e05-4d73-405e-ba29-177d876a3366,Creatine,2025-05-24,3,4272
YouTube,Wellness Week,11,061dd723-0b53-473e-950f-c7100856db5f,Multivitamins,2025-04-14,3,1884
YouTube,Summer Fit,11,85554dcf-89e5-43b7-9060-0a51d0c7f316,Creatine,2025-06-23,1,1326
YouTube,Wellness Week,11,b199caf8-2e61-493d-b002-6e4977866d14,Protein Powder,2025-02-09,3,2694
YouTube,Wellness Week,11,cfd12d80-4888-462f-9600-24f50ea40f3e,Omega 3,2025-04-22,2,8190
YouTube,Wellness Week,11,31340f6b-fb32-424d-9d4a-f167a485bad7,Omega 3,2025-04-20,1,962
YouTube,Winter Bulk,11,3eaa75bc-daf7-4358-ab69-80bff10e88e3,Omega 3,2025-07-15,2,4836
YouTube,Wellness Week,11,5c98fcf1-971e-4ce7-a75c-e46988ca2db3,Energy Bar,2025-04-15,3,9378
YouTube,Wellness Week,11,e5b583b5-c893-492d-9f58-80158a583fc8,Creatine,2025-02-02,1,4770
YouTube,Summer Fit,11,bf8aba21-e6fc-4f09-ba76-e66dd1e8ca66,Omega 3,2025-06-14,2,5508
Twitter,Festival Boost,12,bed5eeb0-d26a-4669-b7b6-999048cf3af4,Protein Powder,2025-02-06,3,11997
Twitter,Winter Bulk,12,46441243-eaea-4799-a6fa-2a933cf07464,Creatine,2025-07-15,2,7244
Twitter,Winter Bulk,12,8f735a0d-a693-4070-9817-f388fae652a7,Creatine,2025-03-16,2,3444
Twitter,Festival Boost,12,138b0635-57fe-42d2-ab67-9362f37665f3,Multivitamins,2025-06-01,1,4906
Twitter,Wellness Week,12,e404dff4-931f-4d1b-9448-b103377e5246,Creatine,2025-06-25,1,2963
Twitter,Festival Boost,12,c2a80be1-7478-4ed7-8a34-c4d7c3575a36,Omega 3,2025-07-06,1,3880
Twitter,Festival Boost,12,46368161-066e-4460-a6f8-64a35d54d95c,Multivitamins,2025-02-04,3,4794
Twitter,Winter Bulk,12,30f3b257-57d6-4c6e-a728-c77aa7cf8a28,Protein Powder,2025-07-02,2,4330
Twitter,Summer Fit,12,f852153a-b431-414c-93f6-b471f335d879,Omega 3,2025-03-16,2,7078
Twitter,Summer Fit,12,d8598a7f-ac71-4a9a-b4cf-4d1cc2a9e781,Energy Bar,2025-04-13,3,6180
Twitter,Summer Fit,13,17529e21-ccd2-457b-992a-5bb52cdaa4f4,Multivitamins,2025-04-26,3,2469
Twitter,Festival Boost,13,955b2902-f8a0-4747-85ec-ea48160977eb,Multivitamins,2025-05-27,3,6831
Twitter,Summer Fit,13,d082dcf5-9b91-4361-9d25-f4b4877c8839,Multivitamins,2025-05-02,2,5966
Twitter,Festival Boost,13,44822e93-6b61-441b-96f0-40939064753b,Multivitamins,2025-02-10,1,1461
Twitter,Festival Boost,13,b5fddd43-26da-45db-9e33-0367c8b9f1ee,Multivitamins,2025-03-10,3,6525
Twitter,Winter Bulk,13,c9f369f4-b60a-485c-80fc-3be5c4b573d3,Creatine,2025-05-11,3,9402
Twitter,Winter Bulk,13,f40e87fa-16bd-4695-a5e9-f8aec4b2a024,Energy Bar,2025-04-27,2,9742
Twitter,Festival Boost,13,f58f21d8-5c54-4d2b-aed1-1f49d08c845c,Creatine,2025-05-28,2,6892
Twitter,Winter Bulk,13,922cee2a-fe01-4392-b33f-fc1187caf165,Multivitamins,2025-03-18,1,4346
Twitter,Festival Boost,13,08b5e035-5a35-4f49-b93c-793e412ef39b,Protein Powder,2025-04-17,2,6126
Twitter,Wellness Week,13,754efc8f-8fa1-41c9-947f-d02a1b1da015,Protein Powder,2025-02-26,3,6936
Twitter,Winter Bulk,13,d2fd4121-6b0a-4623-8035-9293e5a93047,Multivitamins,2025-05-03,2,7840
Twitter,Wellness Week,13,dcf45c06-620d-47e9-9b20-bd82ac7c21db,Creatine,2025-05-16,1,3202
Twitter,Festival Boost,13,149bacfe-3550-4609-bf82-988744e8137a,Omega 3,2025-06-26,3,7539
Twitter,Winter Bulk,13,28176d7f-191d-42fc-aed1-5a3933cc6305,Creatine,2025-02-12,3,9795
Twitter,Festival Boost,13,cd6779c4-3d3b-4136-92d6-2d5534287001,Multivitamins,2025-02-13,3,13554
Twitter,Wellness Week,13,271b0f90-be06-4c3b-9c80-cd5a48269aa0,Multivitamins,2025-03-16,3,10155
YouTube,Summer Fit,14,493f0a11-6a5d-47f2-aa4c-2f393129d1ad,Omega 3,2025-02-27,1,4941
YouTube,Summer Fit,14,d520f898-6941-4399-bd8c-01ea13808e80,Protein Powder,2025-05-01,1,1108
YouTube,Wellness Week,14,168af3e5-c02d-4bdd-91e7-b507ee7ae9d3,Protein Powder,2025-02-10,2,3252
YouTube,Summer Fit,14,2ad2f75b-372f-4ffd-8980-c17d1259d83d,Multivitamins,2025-04-05,3,5211
YouTube,Winter Bulk,14,3f342462-be83-4931-9103-4ae9fb521c6d,Protein Powder,2025-06-03,3,12705
YouTube,Festival Boost,14,9ee5e068-f167-459c-b778-4787a253510d,Protein Powder,2025-05-04,3,13374
YouTube,Festival Boost,14,9aeccdd7-abff-4d48-af0d-052b2c10e7eb,Protein Powder,2025-07-09,1,4859
YouTube,Winter Bulk,14,628f1519-89b4-444e-ac82-2d04446b6fec,Omega 3,2025-02-16,1,4836
YouTube,Festival Boost,14,5ec6e82d-99b4-4338-a33b-8e9031cf6578,Multivitamins,2025-05-29,2,1280
YouTube,Wellness Week,14,3380e454-6de2-497c-ad13-4b83746967fb,Multivitamins,2025-04-06,1,1289
YouTube,Winter Bulk,14,8f492a0e-cce7-49b5-b505-ce9839a9e11e,Energy Bar,2025-06-28,1,4812
YouTube,Summer Fit,14,9d4f452d-724e-44d1-9176-90805f847426,Energy Bar,2025-03-12,2,7502
YouTube,Wellness Week,14,dfb20cab-dc7e-45ae-aff6-6efb3cbd1934,Multivitamins,2025-01-28,2,8520
YouTube,Summer Fit,14,6d60e677-88d9-473d-aaa7-c2c27ae2fb98,Protein Powder,2025-05-30,2,2320
YouTube,Festival Boost,14,d910e389-cb33-4ca1-bbf3-6752c709c2b5,Omega 3,2025-06-28,2,7212
YouTube,Summer Fit,14,563aa478-ca49-4fae-bf1d-8eb6eb699e99,Multivitamins,2025-03-19,2,1918
YouTube,Festival Boost,14,3395345d-20e1-4dc7-8067-0ce0f6a4a023,Energy Bar,2025-02-16,1,4594
YouTube,Summer Fit,14,45738099-6031-4977-a46d-fd63852e2a9c,Multivitamins,2025-06-08,3,3843
YouTube,Winter Bulk,14,32261328-6725-440e-8d18-2070023e398e,Protein Powder,2025-03-03,1,4395
YouTube,Summer Fit,14,1c68f447-6e48-4682-bed0-956fffbba154,Multivitamins,2025-05-19,1,2796
YouTube,Wellness Week,15,be8967bb-11cf-43e0-b084-a6ad10184bbf,Creatine,2025-03-02,1,2197
YouTube,Wellness Week,15,7503c6f9-2353-405b-82b1-32b23a477794,Omega 3,2025-03-23,1,2951
YouTube,Winter Bulk,15,d9a6ffe7-65fe-4c97-a510-a3c0197bfa67,Creatine,2025-07-18,1,3687
YouTube,Summer Fit,15,e482c820-9d58-423e-beeb-f82ff400a928,Omega 3,2025-04-14,3,4938
YouTube,Summer Fit,15,c3354b99-73eb-481f-a401-589bef5ea900,Protein Powder,2025-07-07,3,9999
YouTube,Summer Fit,15,8fc7d511-d4ef-4d71-8b5f-a98543480b00,Energy Bar,2025-02-07,2,4802
YouTube,Winter Bulk,15,1e130cb5-7908-43c8-b986-83322adde42d,Protein Powder,2025-05-24,3,11247
YouTube,Festival Boost,15,1365f9da-817b-46fb-9abb-c44705d57205,Creatine,2025-03-16,3,8217
YouTube,Festival Boost,15,d710e599-b2d2-4bfe-b66a-834ac079f6de,Creatine,2025-07-18,1,3414
YouTube,Summer Fit,15,9157a754-f0f1-4d69-995b-29a71ed1222e,Omega 3,2025-04-26,1,3613
YouTube,Summer Fit,15,ed69717e-211c-4046-86fd-ddfcfae2dfd3,Protein Powder,2025-03-09,2,5036
YouTube,Festival Boost,15,e146a1ef-7fb9-4a62-a894-bf1eb6ea2cb4,Multivitamins,2025-04-24,2,3526
YouTube,Winter Bulk,15,1506ab1f-f550-4b91-b595-e3118b71f839,Energy Bar,2025-05-09,3,11073
YouTube,Summer Fit,15,a1ac4e4a-4948-4b5d-a318-edb73a459309,Energy Bar,2025-05-13,1,1249
YouTube,Winter Bulk,15,aef601dc-80f1-4f8c-afdf-6b6b96dd33a4,Protein Powder,2025-06-05,2,6896
YouTube,Festival Boost,16,e5a4b751-95c7-4908-b943-83ab6b65bf72,Creatine,2025-02-22,1,2035
YouTube,Festival Boost,16,d3da108d-3494-4abe-8cd7-18d7a8727aae,Protein Powder,2025-04-19,3,14091
YouTube,Winter Bulk,16,19a4e58b-7d67-4809-9ff9-9962af29c654,Omega 3,2025-03-30,1,1234
YouTube,Festival Boost,16,e8bab254-9340-4d4c-9645-53058635c581,Protein Powder,2025-07-15,1,3157
YouTube,Festival Boost,16,1a242bac-3cad-4ed7-aee1-a4f60c1669d0,Protein Powder,2025-04-17,2,7778
YouTube,Wellness Week,16,f7ffa14f-a73b-48b1-b874-6b67116fbfd4,Creatine,2025-03-16,3,7464
YouTube,Winter Bulk,16,9740b825-e3ef-418b-9edc-9b599bdc00ee,Energy Bar,2025-06-06,1,1637
YouTube,Wellness Week,16,8e3b6a5d-2bda-45f5-bc6b-fd53617a6b89,Protein Powder,2025-05-15,2,9078
YouTube,Winter Bulk,16,6829958b-e5a2-4364-b3fd-b582559bad2a,Creatine,2025-04-15,1,4060
Twitter,Winter Bulk,17,48e4451a-380e-49b0-a4b7-a4050baf6e04,Energy Bar,2025-03-31,2,2260
Twitter,Wellness Week,17,da029f2a-3424-4d32-b286-3a43872caebe,Creatine,2025-02-18,1,4561
Twitter,Winter Bulk,17,a4393edc-858e-4937-8c10-28880c9bf6f2,Protein Powder,2025-02-12,1,1609
Twitter,Festival Boost,17,607eef6d-b2f4-4246-b20b-ebf4a38e6ead,Energy Bar,2025-05-22,2,6442
Twitter,Festival Boost,17,8374e350-6519-4fa7-ad36-62d344f7c7e8,Omega 3,2025-03-05,2,6484
Twitter,Winter Bulk,17,76d3b916-e584-48a2-997e-95f2748c55e9,Omega 3,2025-05-07,1,2961
Twitter,Festival Boost,17,db98a062-4d3d-4d2b-ba56-ef2db79bd9d8,Energy Bar,2025-05-07,3,6435
Twitter,Winter Bulk,17,74d1c477-bcaa-4ff0-904d-ac06772a831a,Energy Bar,2025-01-21,1,3762
Twitter,Wellness Week,17,579cd3d1-19c5-4746-90a4-2b2123711546,Energy Bar,2025-03-30,3,13566
Twitter,Festival Boost,17,b6a2560d-b5c5-4930-bce2-142669e82499,Energy Bar,2025-05-14,2,5592
Twitter,Wellness Week,17,cc638d8b-f41c-4c14-acdc-cc2e7286a449,Omega 3,2025-06-07,1,2136
Twitter,Wellness Week,17,dce6c425-55b4-4a36-8968-7b37d5f47d58,Creatine,2025-03-08,1,4281
Twitter,Festival Boost,17,755ed602-1bdc-495a-876b-120f4a903941,Creatine,2025-06-24,2,2132
Twitter,Wellness Week,17,b4319406-46dc-49fe-abb0-a37d1274979d,Energy Bar,2025-02-26,1,2980
Instagram,Festival Boost,18,123fe8d6-5d90-4840-9d7a-04fdbbffe68a,Protein Powder,2025-03-30,3,11898
Instagram,Festival Boost,18,b3465d2d-d5e2-4fda-a774-a44027a412e9,Omega 3,2025-05-08,2,8850
Instagram,Summer Fit,18,f994eabb-187e-466d-9b9c-1fd759da72d4,Energy Bar,2025-05-09,3,11778
Instagram,Summer Fit,18,8a0fb79f-e398-4c28-a1b3-00f744bf947b,Protein Powder,2025-02-01,3,14694
Instagram,Wellness Week,18,d9a76682-5db3-49ac-97bb-f3d4667fc23d,Omega 3,2025-03-27,1,3408
Instagram,Winter Bulk,18,7a75874b-46e5-42b8-bf32-b51f7a1a5ae2,Creatine,2025-03-12,1,3773
Instagram,Summer Fit,18,6154ef06-8e8f-48bb-93f2-3e42f75c4e86,Energy Bar,2025-05-24,1,586
Instagram,Wellness Week,18,849a1773-70d1-4cc9-bba5-40a0d668f803,Creatine,2025-01-23,1,4683
Instagram,Festival Boost,18,263421ef-b29f-4ec8-837e-faea32c51aa2,Omega 3,2025-04-17,2,7408
YouTube,Festival Boost,19,c6c41938-9579-4d75-862f-8c962db708ee,Protein Powder,2025-07-02,2,1402
YouTube,Summer Fit,19,736ae115-97f1-48c3-935d-e6a3c101d4a3,Protein Powder,2025-07-15,2,7814
YouTube,Winter Bulk,19,2745f134-c21d-4ebd-9712-112f2421561e,Energy Bar,2025-04-03,3,4980
YouTube,Wellness Week,19,610a6274-fa10-435c-82ee-cb2528832879,Omega 3,2025-05-31,2,8460
YouTube,Festival Boost,19,6b77b70c-1943-424b-9882-392072927166,Protein Powder,2025-06-09,2,6706
YouTube,Winter Bulk,19,f6ddacbf-512d-4639-8665-3d602dd71db3,Protein Powder,2025-02-04,2,8412
